sample-id	forward-absolute-filepath 	reverse-absolute-filepath
SNP22883	$PWD/data/SNP22883/SNP22883_S214_L001_R1_001.fastq.gz	$PWD/data/SNP22883/SNP22883_S214_L001_R2_001.fastq.gz
SNP22885	$PWD/data/SNP22885/SNP22885_S203_L001_R1_001.fastq.gz	$PWD/data/SNP22885/SNP22885_S203_L001_R2_001.fastq.gz
SNP29974	$PWD/data/SNP29974/SNP29974_S210_L001_R1_001.fastq.gz	$PWD/data/SNP29974/SNP29974_S210_L001_R2_001.fastq.gz
SNP36456	$PWD/data/SNP36456/SNP36456_S121_L001_R1_001.fastq.gz	$PWD/data/SNP36456/SNP36456_S121_L001_R2_001.fastq.gz
SNP43393	$PWD/data/SNP43393/SNP43393_S212_L001_R1_001.fastq.gz	$PWD/data/SNP43393/SNP43393_S212_L001_R2_001.fastq.gz
SNP53529	$PWD/data/SNP53529/SNP53529_S120_L001_R1_001.fastq.gz	$PWD/data/SNP53529/SNP53529_S120_L001_R2_001.fastq.gz
SNP63824	$PWD/data/SNP63824/SNP63824_S209_L001_R1_001.fastq.gz	$PWD/data/SNP63824/SNP63824_S209_L001_R2_001.fastq.gz
SNP72374	$PWD/data/SNP72374/SNP72374_S199_L001_R1_001.fastq.gz	$PWD/data/SNP72374/SNP72374_S199_L001_R2_001.fastq.gz
SNP78527	$PWD/data/SNP78527/SNP78527_S119_L001_R1_001.fastq.gz	$PWD/data/SNP78527/SNP78527_S119_L001_R2_001.fastq.gz
SNP82386	$PWD/data/SNP82386/SNP82386_S218_L001_R1_001.fastq.gz	$PWD/data/SNP82386/SNP82386_S218_L001_R2_001.fastq.gz
SNP88433	$PWD/data/SNP88433/SNP88433_S217_L001_R1_001.fastq.gz	$PWD/data/SNP88433/SNP88433_S217_L001_R2_001.fastq.gz
SNP94626	$PWD/data/SNP94626/SNP94626_S206_L001_R1_001.fastq.gz	$PWD/data/SNP94626/SNP94626_S206_L001_R2_001.fastq.gz
SNP95228	$PWD/data/SNP95228/SNP95228_S205_L001_R1_001.fastq.gz	$PWD/data/SNP95228/SNP95228_S205_L001_R2_001.fastq.gz
SNP95346	$PWD/data/SNP95346/SNP95346_S213_L001_R1_001.fastq.gz	$PWD/data/SNP95346/SNP95346_S213_L001_R2_001.fastq.gz
SNP95953	$PWD/data/SNP95953/SNP95953_S204_L001_R1_001.fastq.gz	$PWD/data/SNP95953/SNP95953_S204_L001_R2_001.fastq.gz
US01063181	$PWD/data/US01063181/US01063181_S215_L001_R1_001.fastq.gz	$PWD/data/US01063181/US01063181_S215_L001_R2_001.fastq.gz
SNP72738	$PWD/data/SNP72738/SNP72738_S253_L001_R1_001.fastq.gz	$PWD/data/SNP72738/SNP72738_S253_L001_R2_001.fastq.gz
SNP56885	$PWD/data/SNP56885/SNP56885_S252_L001_R1_001.fastq.gz	$PWD/data/SNP56885/SNP56885_S252_L001_R2_001.fastq.gz
SNP38337	$PWD/data/SNP38337/SNP38337_S255_L001_R1_001.fastq.gz	$PWD/data/SNP38337/SNP38337_S255_L001_R2_001.fastq.gz
SNP22754	$PWD/data/SNP22754/SNP22754_S254_L001_R1_001.fastq.gz	$PWD/data/SNP22754/SNP22754_S254_L001_R2_001.fastq.gz